City_ID,City,CurrentDescription,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
348,Boguchar,overcast clouds,49.9358,40.545,61.52,73,100,13.73
349,Barcelos,clear sky,41.5388,-8.6151,75.92,60,1,12.91
350,Luwuk,overcast clouds,-0.9516,122.7875,76.24,84,90,4.47
351,Shwebo,overcast clouds,22.5667,95.7,75.92,94,100,2.06
352,Ballina,clear sky,-28.8667,153.5667,56.79,96,7,0.0
353,Waingapu,scattered clouds,-9.6567,120.2641,77.5,84,45,9.78
354,Beloha,scattered clouds,-25.1667,45.05,61.11,73,47,11.74
355,Kanepi,clear sky,57.982,26.7627,45.05,68,7,12.08
356,Pirovskoye,overcast clouds,57.6267,92.2658,46.98,70,100,5.26
357,Inuvik,light intensity shower rain,68.3499,-133.7218,40.06,84,90,1.14
358,Doka,scattered clouds,13.5167,35.7667,77.77,75,43,1.63
359,Pimentel,clear sky,-6.8367,-79.9342,70.09,64,0,11.5
360,Cradock,broken clouds,-32.1642,25.6192,68.34,14,83,7.83
361,Tarancon,clear sky,40.0085,-3.0073,76.46,22,4,5.61
362,Prince Rupert,light rain,54.3161,-130.3201,51.89,96,90,5.75
363,Warri,light rain,5.5167,5.75,80.64,78,100,6.6
364,Fuerte Olimpo,broken clouds,-21.0415,-57.8738,110.05,10,53,11.27
365,Sembakung,overcast clouds,3.8167,117.25,72.32,98,100,0.56
366,Bonawon,moderate rain,9.134,122.9193,79.7,79,100,5.84
367,Nhulunbuy,overcast clouds,-12.2333,136.7667,72.21,78,92,4.61
368,Kuito,light rain,-12.3833,16.9333,65.57,72,85,9.91
369,Curup,overcast clouds,-3.4667,102.5333,66.83,98,95,0.74
370,Khotyn,overcast clouds,48.4833,26.5,50.22,82,100,14.65
371,Port Hardy,light rain,50.6996,-127.4199,50.18,100,75,0.0
